filename,Satellite-Framing,Verb-Framing,Path-Reduplication,Satellite-Framing,Verb-Framing,Path-Reduplication,Adjective Change of State Expressions,Adjective COS Examples,
p122_reading.txt,1,0,0,bound together,,,0,,
p124_reading.txt,1,2,1,bring into,enters; followed,enter into,8,carving Direct,carving Direct,carving direct,carving direct,carving direct,carving direct,carving direct,carving direct,
p126_reading.txt,5,3,0,retire together; retire into; dig into; huddling together; huddling together,enter; return; follow,,7,keep warm,keep warm,found little,found little,find easier,find easier,find easier,
p130_reading.txt,3,0,0,jars into; scrambles into; prod into,,,2,presents familiar,stimulating refreshing,
p134_reading.txt,2,0,0,held together; organized into,,,0,,
p145_listening.txt,0,1,0,,follow,,1,’re right,
p146_listening.txt,2,0,0,brought into; reflected back,,,2,’m glad,’re sure,
p147_listening.txt,0,1,0,,returned,,2,considered difficult,’m sure,
p24_listening.txt,1,0,0,scratch around,,,0,,
p38_reading.txt,0,0,0,,,,0,,
p41_reading.txt,1,2,0,flow into,left; left,,0,,
p67_listening.txt,0,1,0,,passed,,1,chosen young,
p68_listening.txt,2,0,0,go into; provided back,,,2,’s interesting,remain paramount,
p69_listening.txt,0,1,0,,returns,,0,,
p82_reading.txt,1,1,0,moved into,arrived,,0,,
p84_reading.txt,0,0,0,,,,1,found striking,
p86_reading.txt,0,0,0,,,,3,swim Puffer,swim Puffer,swim Puffer,
p88_reading.txt,3,1,0,bumped into; pours into; coaxed into,enter,,1,learning daily,
p90_reading.txt,2,0,0,move away; fade away,,,1,grew wild,
